,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
110,2-s2.0-85126300512,10.3390/en15051926,,,Comparison of Environmental Impact Assessment Methods in the Assembly and Operation of Photovoltaic Power Plants: A Systematic Review in the Castilla—La Mancha Region,ar,Article,Zarzavilla M.,60103993;60000823;127836773;125096371,Universidad Tecnológica de Panamá;Universidad de Castilla-La Mancha;Sistema Nacional de Investigación (SNI);Centro de Estudios Multidisciplinarios en Ciencias,Panama City;Ciudad Real;Panama City;Panama City,Panama;Spain;Panama;Panama,6,"Zarzavilla, Marichell;Quintero, Andrea;Abellán, Manuela Andrés;Serrano, Francisco López;Austin, Miguel Chen;Tejedor-Flores, Nathalia",57354080200;57354080100;8414735500;57197869134;57205595350;57192870851,60103993;60103993;60000823;60000823;60103993-125096371-127836773;60103993-125096371-127836773,2022-03-01 00:00:00,March-1 2022,Energies,,62932,19961073,Journal,15,5,1926,,"Solar energy is in high demand due to its environmental benefits and economic potential; however, concerns remain about the total impact it holds. In 2020, for Spain, Castilla-La Mancha was the second autonomous community with the highest photovoltaic energy production. Thus, a systematic review on 15 large-scale PV solar energy projects was carried out to assess the industry impacts, through environmental impact assessment (EIA), within the Autonomous Community of Castilla—La Mancha. An estimation of these impacts from a pre-operational approach is presented, based on primary energy needs and emissions discarded during its life cycle due to the manufacture, operation, and recycling of the photovoltaic modules. Based on both the life cycle assessment (LCA) and EIA, the approaches were compared with the results obtained. The obtained results suggest that determining the actual impacts of power plants in this region could provide justified information for the public administration and technicians in the measures for the installation and operation of PV plants and the future benefits of renewable solar technologies. Furthermore, the results indicate the possibility to recognize the relationship between the size of the plant and a high generation capacity, with a shorter time to pay for emissions from the manufacture and recycling of panels, suggesting that it is around 1.66–2.08 years for the Castilla-La Mancha region.",Clean energy | Environmental impact assessment | Greenhouse gas emissions | Life cycle analysis | Photovoltaic power plant,9,1,publisherfullgold,Gold,SNI,undefined,Sistema Nacional de Investigadores
111,2-s2.0-85119296309,10.1016/j.ijpe.2021.108338,S0925527321003145,,Impact of financing and payout policy on the economic profitability of solar photovoltaic plants,ar,Article,Magni C.A.,60004591,Università degli Studi di Modena e Reggio Emilia,Modena,Italy,3,"Magni, Carlo Alberto;Marchioni, Andrea;Baschieri, Davide",7003398911;57200549175;57226030139,60004591;60004591;60004591,2022-02-01 00:00:00,February 2022,International Journal of Production Economics,09255273,19165,,Journal,244,,108338,,"This paper introduces an innovative comprehensive evaluation model for appraising an investment in a solar photovoltaic plant which encompasses both operational and financial management. We illustrate the intricate network of logical relations among technical (estimated) variables and financial (decision) variables and show that establishing transparent links between the former and the latter enhances the accuracy and soundness of the model. The results indicate that understanding the conceptual and formal relations of operating variables and financial decisions is necessary for correctly measuring shareholder value creation and making rational decisions, even for those projects (such as solar energy projects) where the operating, technical component is of paramount importance. We show how a firm's decision of replacing conventional energy with solar energy may be affected by managerial decisions regarding the firm's payout/retention policy and its financing policy to support the project. The model discloses insights on how to fine-tune the financing and distribution decisions in order to maximize the value creation for shareholders. We apply the model to a real-life photovoltaic project to be located in the province of Modena, in Northeast Italy, and quantify the effect of financial decisions on the project's net present value, showing that the financing and distribution policies may amplify or shrink the impact of changes in other inputs and may even revert an otherwise unprofitable project into a value-creating one. Finally, we allow operational variables as well as financial variables to change in order to measure their importance via the application of the Clean Finite Change Sensitivity Indices (Magni et al., 2020).",Distribution policy | FCSI | Financing decision | Investment analysis | Net present value | Photovoltaic solar energy | Sensitivity analysis | Value creation,5,0,,,,undefined,
119,2-s2.0-85140960433,10.1504/ijgenvi.2022.126204,,,Environmental and economic analysis of technological innovations in the energy sector,ar,Article,Li R.,60042282;60016511;60005813;60004636,Kaunas University of Technology;Sumy State University;Xi'an University of Finance and Economics;University of Northumbria,Kaunas;Sumy;Xi'an;Newcastle,Lithuania;Ukraine;China;United Kingdom,7,"Li, Rui;Kubatko, Oleksandr;Baranchenko, Yevhen;Benetyte, Raminta;Melnyk, Leonid;Dehtyarova, Iryna;Matsenko, Oleksandr",53864034700;55537257700;52263327300;57222608121;36176147700;57015406500;56074215200,60005813;60016511;60004636;60042282;60016511;60016511;60016511,2022-01-01 00:00:00,2022,International Journal of Global Environmental Issues,14666650,23268,,Journal,21,2-4,,182-197,"The work is related to the justification of decisions on the implementation of innovative technologies in the phase transition to a new model of economy. The purpose of the work is to present a comparative analysis of the economic and environmental efficiency of two competing technologies of energy production (fossil fuel and renewable). The comparative efficiency method was used, and it is based on the assessment levelised cost of energy (LCOE), the total present value of the energy projects implementation. The calculations showed that 2019–2021 were a milestone at which alternative energy sources in economic terms became compared with traditional energy sources (based on the combustion of fossil fuels). It is made a prognosis that by 2030, the economic advantage of using alternative energy per unit of energy production will exceed the value of traditional energy by 2.5 times.",digital economy | energy storage | environmental damage | green energy | renewable resources,1,0,,,NRFU,0121U100470,National Research Foundation of Ukraine
123,2-s2.0-85125493406,10.1155/2022/3130605,,,"Impact of Energy Consumption, Economic Growth, and FDI through Environmental Kuznets Curve: Perspective from Belt and Road Initiative and Pakistan",ar,Article,Zubedi A.,60070613;60041178;60016930,Bahria University;Mehran University of Engineering &amp; Technology;Beijing University of Posts and Telecommunications,Islamabad;Jamshoro;Beijing,Pakistan;Pakistan;China,5,"Zubedi, Asma;Jianqiu, Zeng;Ali, Qasim;Memon, Imran;Zubedi, Erum",57192078218;16199540100;57209746300;56596461100;57470877300,60016930;60016930;60041178;60070613;60016930,2022-01-01 00:00:00,2022,Mathematical Problems in Engineering,1024123X,13082,15635147,Journal,2022,,3130605,,"A significant corridor under the ""Belt and Road Initiative""is announced by the government of China for numerous transport and energy projects. China focuses greatly on the sustainability of these projects, in accordance with Green Investment Principles. For this, environmental, social, governance, and technological considerations are taken into account. This paper offers a novel assessment of the impact of green sustainability under BRI and the current emission scenario in Pakistan. The question that needs to be addressed here is whether the projects under Belt and Road Initiative are as environment friendly as they claim. In the first phase of this study, we review theories establishing evidence based on existing literature to determine the influence of Belt and Road on economic development. In the next phase, we use Environment Kuznets Curve and apply estimates from Johansson's Cointegration Test to quantify the present environmental scenario of Pakistan and probable environmental risk portrayed by the China-Pakistan Economic Corridor (CPEC). This paper helps in determining the relationship between carbon emission and three major variables including energy consumption, economic growth, and foreign direct investment (FDI). Cointegration analysis is applied on time series data comprising of a 40 years' period from 1979 to 2019. The paper finds that (i) the belt and road corridors could substantially improve trade, foreign investment, and living conditions for citizens in participating countries; (ii) moreover, this study confirms the presence of one cointegrated equation suggesting the presence of a long term relationship between the CO2 and independent variables and a short run association running from EnC to CO2. The study also proposes a Green BRI Model which formulates a body that devises environmental performance standards, reviews procedures, and ensures that they get implemented on all CPEC projects. The Belt and Road Initiative increases emissions among participating countries. China and corridor economies need to adopt strict policy reforms that increase transparency, expand trade, improve debt sustainability, and mitigate environmental, social, and corruption risks.",,8,1,publisherfullgold,Gold,,undefined,
124,2-s2.0-85127381601,10.1134/S2079970522010051,,,Russian Arctic Policy: Opportunities for the Development of the Siberian and Far Eastern Regions,ar,Article,Likhacheva A.B.,60020513,HSE University,Moscow,Russian Federation,2,"Likhacheva, A. B.;Stepanov, I. A.",57205251880;57169933200,60020513;60020513,2021-12-01 00:00:00,December 2021,Regional Research of Russia,20799705,21100370022,20799713,Journal,11,,,S13-S22,"Abstract: The research is devoted to an impact assessment of the role of the Arctic and state Arctic policy in the socioeconomic development of the Siberian and Far Eastern Russian regions. Today, state policy is largely based on the paradigm of development of the Arctic as a “thing-in-itself,” possessing great value, but institutionally, ideologically, and economically disconnected from all other Russian regions. The Arctic policy predominantly neglects the substantial industrial, research, technological, transport, and human potential of the Siberia and the Far East. Such an approach is fraught with aggravation of the continental curse of Siberia and some regions of the Far East, with the risks of unfulfilled potential of profit-oriented Arctic projects—not considering the possibilities of their integration into the economic-spatial system of added value generation in the country. Based on an analysis of domestic and foreign Arctic state policy, a number of implemented and scheduled infrastructure and energy projects in the region and scientific and public discourse on the regional development of Russia, this paper proposes a number of measures to improve Arctic strategic management. The paper highlights the need to revise the current paradigm of Arctic development and transform the Arctic into a zone of innovative resource and nature-saving development that generates multiplicative effects for the socioeconomic development of Siberia and the Far East.",Arctic Zone of the Russian Federation | continental curse | multiplicative effects of development | Siberia and the Far East | state Arctic policy,1,0,,,ВШЭ,undefined,National Research University Higher School of Economics
125,2-s2.0-85120002763,10.3390/en14237841,,,New methods for assessing sustainability of wood-burning energy facilities: Combining historical and spatial approaches,ar,Article,Mittlefehldt S.,60031707;60017409,Michigan State University;Northern Michigan University,East Lansing;Marquette,United States;United States,5,"Mittlefehldt, Sarah;Bunting, Erin;Huff, Emily;Welsh, Joseph;Goodwin, Robert",56357990800;55979522800;57201191892;57226534463;57207985139,60017409;60031707;60031707;60031707;60031707,2021-12-01 00:00:00,December-1 2021,Energies,,62932,19961073,Journal,14,23,7841,,"Methods to assess wood-based bioenergy projects have tended to focus on technological and physical constraints. Less is known about how longer-term environmental, economic, and social systems—the three pillars of sustainable development—have influenced technological development in the context of woody biomass energy. This research offers new methods for assessing the sustainability of wood-based energy projects by combining spatial analysis, semi-structured interviews, and archival data analysis. By integrating quantitative and qualitative methods, this project offers ways to understand how social and environmental dynamics from the past shape technological development in the future. A propensity analysis of biomass energy plants in Michigan, USA was performed using US Census data grouped by social, economic, and environmental categories. This quantitative analysis helped to characterize community and landscape types in which woody biomass plants were developed in Michigan in the late-twentieth century. To help illustrate some of the often-hidden social and political dimensions of energy development, such as access to decision-making and attitudes toward bioenergy projects, transcripts of public hearings, media coverage, and other archival sources were examined, and 30 stakeholder interviews were conducted. By integrating these qualitative and quantitative approaches, this paper aims to provide a more comprehensive approach to assessing the sustainability of wood-based biofuel technologies.",Biomass | Circular bioeconomy | Decision-making | Propensity analysis | Sustainability assessment | Wood energy,2,1,publisherfullgold,Gold,NSF,1922030,National Science Foundation
126,2-s2.0-85117892906,10.1016/j.seta.2021.101675,S2213138821006895,,Design and economic assessment of alternative renewable energy systems using capital cost projections: A case study for Saudi Arabia,ar,Article,Al Garni H.Z.,60193403;60103613;60022686,École de Gestion Telfer;Jubail Industrial College;Royal Commission for Jubail and Yanbu,Ottawa;Jubail;Jubail,Canada;Saudi Arabia;Saudi Arabia,3,"Al Garni, Hassan Z.;Abubakar Mas'ud, Abdullahi;Wright, David",57189584363;57215655793;55471273700,60103613;60103613-60022686;60193403,2021-12-01 00:00:00,December 2021,Sustainable Energy Technologies and Assessments,22131388,21100239262,,Journal,48,,101675,,"Saudi Arabia is establishing ground-monitoring stations for solar irradiance and wind speed. Seven of these, at locations distributed throughout the Kingdom, have recently provided highly accurate data, which are used in the present paper to perform an economic assessment for off-grid renewable energy projects based on load data for a typical Saudi Arabian village. Using future projections of capital costs, this paper analyses wind/battery, PV/battery, and PV/wind/battery systems for projects in these seven location starting in 2019, 2022, and 2025, thus facilitating the planning of when and where to schedule installations. Wind/battery systems have a levelized cost of electricity (LCOE) 2.2 to 3.2 times higher than PV/wind/battery and PV/battery systems except in Yanbu, a windy coastal city. In 2019, PV/wind/battery systems have the lowest LCOE in Yanbu ($0.112/kWh) and Sharurah ($0.118/kWh), whereas PV/battery systems are preferable in Al-Jouf, Al-Wajh, Hafr-batin, Jeddah and Riyadh with a range of LCOE from $0.119/kWh to $0.129/kWh. The projected decline in PV and battery costs to 2025 is more rapid than the decline in wind turbine costs so that if projects are deferred, PV/battery systems have the lowest LCOE in each location in 2025. In that year Al-Jouf and Jeddah have the lowest LCOE ($0.711/kWh) and Hafr-batin has the highest ($0.76/kWh). Part of the reason for solar being more economic than wind is the better hourly and monthly match between generation and load, a large proportion of which is air conditioning. As a further contribution, this paper provides a geographical summary of results for policymakers to prioritize cities for the implementation of off-grid RE systems in Saudi Arabia going forward.",HOMER | Levelized cost of energy | Net present cost | Saudi Arabia | Solar | Wind,10,0,,,,undefined,
127,2-s2.0-85116452177,10.1016/j.enpol.2021.112598,S030142152100464X,,“The Answer My Friend is Blowin’ in the Wind”: A stochastic assessment of wind farms financial feasibility and economic efficiency,ar,Article,Kumar I.,60032781;60009254,Lyles School of Civil Engineering;Purdue University,West Lafayette;West Lafayette,United States;United States,4,"Kumar, Indraneel;Tyner, Wallace E.;Labi, Samuel;Sinha, Kumares C.",56343265700;35241386400;6505891237;7102371022,60009254;60009254;60032781;60032781,2021-12-01 00:00:00,December 2021,Energy Policy,03014215,29403,,Journal,159,,112598,,"Two financial incentives that have spurred the growth of renewable energy including wind farms are Production Tax Credits (PTC) and Property Tax Abatement (PTA). PTC provides a tax credit of 1¢–2¢ per kilowatt-hour for the first 10 years of electricity generation for utility-scale wind, and PTA is a rebate provided by the local governments to wind farms in the U.S. Midwestern states. Past researches suggest that the breaking-even of renewable energy projects can partly be attributed to PTC. However, in cognizance of the irregular availability of such incentives, there seems to exist a need for financial feasibility analysis of the wind farms. The study uses a stochastic method and a scenario approach to address this research question. The analysis considers the capital and operating costs, interest payments, local and federal taxes, and production of wind energy and sales revenues, and inherent uncertainties in key parameters. The results shed some light on the impacts of PTC and PTA on the financial feasibility of wind farms in the U.S. Midwestern states. It is observed that PTC is a more effective instrument compared to PTA. The paper concludes by discussing policy implications of local government rebates and federal incentives.",Energy policy act | Production tax credits | Property tax abatement | Wind energy | Wind farms,5,0,,,,undefined,
129,2-s2.0-85119906885,10.3390/su132212858,,,Implementing mcdm techniques for ranking renewable energy projects under fuzzy environment: A case study,ar,Article,Ramezanzade M.,60110523;60105971;60006314;60000159;122425550,"University of Hafr Al-Batin;University of Bojnord, Iran;Prince of Songkla University;Yazd University;Tay Nguyen University",Hafar al Batin;Bojnord;Hatyai;Yazd;Buon Ma Thuot City,Saudi Arabia;Iran;Thailand;Iran;Viet Nam,7,"Ramezanzade, Mohsen;Karimi, Hossein;Almutairi, Khalid;Xuan, Hoa Ao;Saebi, Javad;Mostafaeipour, Ali;Techato, Kuaanan",57218384363;55386673900;57217246994;57210427293;39762680000;24169391400;25321184300,;60105971;60110523;122425550;60105971;60000159-60006314;60006314,2021-11-02 00:00:00,November-2 2021,Sustainability (Switzerland),,21100240100,20711050,Journal,13,22,12858,,"Energy requirements have increased dramatically due to industrialization, economic, and population growth. To meet this demand, and solve its challenges, such as climate change, renewable energies do play an important role. This research work aims at selecting the best renewable energy projects using a hybrid decision-making framework from environmental, economic, technical, and social aspects at a sub-national level. In this regard, a new hybrid fuzzy multi-criteria decision-making model is deployed in which Vise Kriterijumska Optimizacija I Kompromisno Resenje, distance from average solution, and additive ratio assessment methods are used. In addition, for the weighing of criteria, Fuzzy Shannon’s entropy is used. Furthermore, the North Khorasan province is nominated as a sub-national study area. The results show that among 30 sub-criteria, social acceptance, net-presented cost, and noise were the top three with weights of 0.1105, 0.1003, and 0.0988, respectively. Solar energy projects also accomplished high ranks with an overall score of roughly 0.22. After that, small hydropower got second place with a score of 0.187. Moreover, the ranking of cities indicates that Jajarm was the most suitable location for implementing renewable energy development with a score of 0.14. Finally, sensitivity analysis was carried out to show that the mathematical model possessed good robustness.",Fuzzy theory | Multi-criteria decision-making | Ranking | Renewable energy | Sustainability development,25,1,publisherfullgold,Gold,PSU,ENV6402012N,Prince of Songkla University
130,2-s2.0-85107705818,10.1016/j.egyr.2021.05.038,S2352484721003176,,Assessing shading losses of photovoltaic power plants based on string data,ar,Article,Zsiborács H.,60024419;123045956,Pannon Egyetem;PANNON Pro Innovations Ltd.,Veszprem;Budapest,Hungary;Hungary,5,"Zsiborács, Henrik;Zentkó, László;Pintér, Gábor;Vincze, András;Baranyai, Nóra Hegedűsné",56580310700;57201978032;7005568349;57202872378;57192591291,60024419;123045956;60024419;60024419;60024419,2021-11-01 00:00:00,November 2021,Energy Reports,,21100389511,23524847,Journal,7,,,3400-3409,"As decentralized energy supply systems are becoming more and more important for the global energy supply, – apart from a heightened focus on energy rationalization and energy efficiency – increasing the role of variable renewable energy sources, such as solar and wind energy, in energy consumption is gaining more and more significance. Since energy projects tend to be meant for the long term and involve considerable financial investments, it is indispensable to be aware of the country-specific regulatory background when establishing photovoltaic (PV) systems. The last few years have witnessed a trend that new PV power plants are mostly built using traditional crystalline PV technologies, which are prone to irreversible PV module damage due to shading effects. During the operation of PV power plants, anomalies causing loss of income and even fire hazard in extreme cases may occur. Thus, the identification of the problematic parts of the system is of utmost importance. This paper presents the energy relationships of shading by the example of a Hungarian PV system. The goal of this study is to introduce a methodology that can be used internationally to categorize the operational characteristics of the strings of PV power plants on the basis of monitoring data, which allows the assessment of the annual energy loss. The innovative novelty of the model is that its use can provide practical help for the operators of PV systems around the world, since the solution is easy to adapt to real-time supervisory and management platforms and it makes the localization of problematic strings possible, thusly allowing a more focused inspection of PV power plants. The novel practical benefit of the model is that by its use it becomes possible to detect any energy loss resulting from the spacing distance of the strings of PV power plants or faulty operation (the negative shading effects of trees and other objects, faulty inverter operation) by using a simpler calculating mechanism. The early detection of problems is essential for the protection of the PV modules, the subsequent reconstruction of the strings or even solving issues under guarantee. In addition, by assessing the annual energy loss caused by shading, it becomes possible to detect any negative change in the economic indicators of the investment.",Experimental analysis | Hot spot phenomenon | Photovoltaic | Shading | Solar energy,18,1,publisherfullgold,Gold,NKFIA,undefined,"Nemzeti Kutatási, Fejlesztési és Innovaciós Alap"
131,2-s2.0-85102110427,10.1016/j.egyr.2021.02.068,S2352484721001669,,A techno-economic analysis for power generation through wind energy: A case study of Pakistan,ar,Article,Adnan M.,60070625;60014551,University of Management and Technology Lahore;Aston University,Lahore;Birmingham,Pakistan;United Kingdom,4,"Adnan, Muhammad;Ahmad, Jameel;Ali, Syed Farooq;Imran, Muhammad",58666286900;56470359900;35365789500;56259957400,60070625;60070625;60070625;60014551,2021-11-01 00:00:00,November 2021,Energy Reports,,21100389511,23524847,Journal,7,,,1424-1443,"Pakistan needs to overcome the cost of power generation and the ever-increasing demand for energy with environment-friendly renewable energy resources. Several research efforts have been made with the support of Pakistan Meteorological Department in the last two decades for wind resource assessment (WRA) across the country. However, the practical installation of wind farms is quite a fraction of the total forecast wind energy potential. In this feasibility, WRA of Umerkot and Sujawal districts located in Sindh provinces of Pakistan has been analyzed by analyzing mean wind speeds, estimated Weibull parameters, power and energy densities calculation for various heights of selected wind turbines. Further, this paper analyzes the overall energy potential for these locations with implementation cost and pay-back period for investment. These locations are selected by the World Bank initiative of wind profiling campaigns to record wind speed data during 2016 and 2018 with 10 min resolution. It is observed that Umerkot and Sujawal sites are suitable for energy production. The highest values of power and energy densities for Sujawal are 414.18 W/m2 and 3628.22 kWh/m2∕Yr and for Umerkot these values are 303.86 W/m2 and 2661.81 kWh/m2/Yr. The results indicate that using Nordex N90/2500 wind turbines are highly beneficial for Umerkot and Sujawal. The associated costs of energy are 0.074 $/kWh and 0.056 $kWh respectively and the payback period is estimated to be around 7 years with 20 years life time of the project. This work suggests the possibility of wind farm installation and commissioning based on power density calculation and cost of land acquisition. This work emphasizes the investment for wind farms at Sujawal and Umerkot for the sustainable growth of the country. This helps out policymakers for long term planning, development of wind energy projects and attracting investment for the country.",Cost of energy | Payback period | Resource assessment | Weibull distribution | Wind energy,33,1,repositoryam,Green,,undefined,Aston University
132,2-s2.0-85112660989,10.1016/j.jclepro.2021.128519,S0959652621027281,,Prospects of Sustainable Biomass-Based Power Generation in a Small Island Country,ar,Article,Prasad R.D.,60114814;60072022,Fiji National University;University of the South Pacific,Nasinu;Suva,Fiji;Fiji,2,"Prasad, Ravita D.;Raturi, Atul",25923060900;6701733831,60114814-60072022;60072022,2021-10-10 00:00:00,10 October 2021,Journal of Cleaner Production,09596526,19167,,Journal,318,,128519,,"Biomass resources are abundantly present in the Pacific Island Countries (PICs) but are mostly used for cooking and crop drying. Only three countries viz. Papua New Guinea, Fiji, and Samoa use biomass for power generation. This paper aims to (i) quantify the forest logging residue generated in Fiji, (ii) carry out a techno-economic and environmental assessment of a potential 10 MW biomass power plant (BPP) in Fiji and study the impact of feedstock cost (FC) on the electricity production cost (EPC) in relation to the financial viability, and (iii) discuss possible strategies to overcome challenges PICs face in developing biomass energy projects. It is found that a 10 MW BPP would require approximately 60,000 tonnes of biomass feedstock, which can be supplied by forest residue from logging in the western division of Viti Levu in Fiji. If the FC is taken as USD68.6/tonne and electricity export tariff to national grid is taken as USD0.1621/kWh, then the net present value is USD16.1 million, simple payback period is 5.6 years, and the benefit-to-cost ratio is 2.5. A sensitivity analysis reveals that electricity export tariff, availability of power plant, and feedstock costs are critical parameters affecting the NPV of the project. Various strategies such as utilising forest residues, planting short-rotation plantations in unused land, enabling policies, early stakeholder engagement, attractive electricity export tariff, and using appropriate harvesting and transportation technologies can help develop the biomass-based power sector in Fiji.",Biomass power plant | Electricity export tariff | Energy production cost | Feedstock cost | Forest residue | Pacific islands,8,0,repositoryam,Green,,undefined,
134,2-s2.0-85115627134,10.3390/en14196055,,,The role of discounting in energy policy investments,ar,Article,Maselli G.,60007061,Università degli Studi di Salerno,Salerno,Italy,2,"Maselli, Gabriella;Nesticò, Antonio",57202367438;55315316900,60007061;60007061,2021-10-01 00:00:00,October-1 2021,Energies,,62932,19961073,Journal,14,19,6055,,"For informing future energy policy decisions, it is essential to choose the correct social discount rate (SDR) for ex-ante economic evaluations. Generally, costs and benefits—both economic and environmental—are weighted through a single constant discount rate. This leads to excessive discounting of the present value of cash flows progressively more distant over time. Evaluating energy projects through constant discount rates would mean underestimating their environmental externalities. This study intends to characterize environmental–economic discounting models cali-brated for energy investments, distinguishing between intra-and inter-generational projects. In both cases, the idea is to use two discounting rates: an economic rate to assess financial components and an ecological rate to weight environmental effects. For intra-generational projects, the dual discount rates are assumed to be constant over time. For inter-generational projects, the model is time-declining to give greater weight to environmental damages and benefits in the long-term. Our discounting approaches are based on Ramsey’s growth model and Gollier’s ecological discounting model; the latter is expressed as a function of an index capable of describing the performance of a country’s energy systems. With regards to the models we propose, the novelty lies in the calibration of the “environmental quality” parameter. Regarding the model for long-term projects, another innovation concerns the analysis of risk components linked to economic variables; the growth rate of consumption is modelled as a stochastic variable. The defined models were implemented to deter-mine discount rates for both Italy and China. In both cases, the estimated discount rates are lower than those suggested by governments. This means that the use of dual discounting approaches can guide policymakers towards sustainable investment in line with UN climate neutrality objectives.",Cost-benefit analysis | Dual discounting | Energy policy investments | Energy transition index | Social discount rate,6,1,publisherfullgold,Gold,,undefined,
136,2-s2.0-85113139403,10.1016/j.biombioe.2021.106218,S0961953421002543,,Techno-economic feasibility analysis of a eucalyptus-based power plant using woodchips,ar,Article,Ribeiro G.B.d.D.,60032361;60013918;60009192,Pontifícia Universidade Católica do Rio de Janeiro;Universidade Federal de Vicosa;Centro de Pesquisas de Energia Eletrica,Rio de Janeiro;Vicosa;Rio de Janeiro,Brazil;Brazil;Brazil,6,"Ribeiro, Gabriel Browne de Deus;Batista, Fabio Rodrigo Siqueira;de Magalhães, Mateus Alves;Valverde, Sebastião Renato;Carneiro, Angélica de Cássia Oliveira;Amaral, Daniela Higgin",57200757585;39360895400;57189220825;15048752400;35104562800;57226531653,60013918;60009192-60032361;60013918;60013918;60013918;60013918,2021-10-01 00:00:00,October 2021,Biomass and Bioenergy,09619534,28810,18732909,Journal,153,,106218,,"Forest biomass plays a critical role in developing countries, with high potential to contribute to the energy needs as a cheaper and carbon-friendly alternative. In Brazil, eucalyptus plantations have gained attention in recent years as a promising source for the power sector. Aiming to assess this potential, this work analyzed the techno-economic feasibility of a eucalyptus woodchip-based power plant. A typical 10 MW power plant was modeled using empirical parameters based on the Steam Rankine Cycle. Woodchip samples were collected and energy properties, fuel demand, eucalyptus area required and unit variable cost were determined. In economic analysis, NEWAVE (Long and Medium Term Interconnected Hydrothermal Systems Operation Planning Model) and ANAFIN (Financial Analysis Model for Electrical Projects), both developed by CEPEL (Brazilian Electrical Research Center) were used for the first time to analyze forest biomass projects taking into account fuel availability and hydrological risks. Three energy trading scenarios were evaluated: (1) full commercialization in Brazilian regulated market, (2) full in free market and (3) partial in both markets. Results showed that 4,200 ha of eucalyptus plantations would be needed to ensure sustainable woodchip supply. Moisture content, basic density and woodchip price played an essential role in determining future costs. All scenarios of energy trading were economic feasible, and scenario (3) mitigated energy spot price risk and might be considered the effective risk-return strategy. The simulated strategies may improve decision makers visibility over the risk-return relation of a eucalyptus power plant. This methodology may be used to evaluate new forest biomass energy projects in potential areas. This study will help encourage bioenergy and power diversification in developing countries.",Bioenergy | Power plant | Renewable | Simulation model,7,0,,,CAPES,undefined,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
139,2-s2.0-85106910665,10.1016/j.energy.2021.120972,S0360544221012202,,Switch and defer option in renewable energy projects: Evidences from Brazil,ar,Article,Nunes L.E.,60017609;60010884,Universidade Federal de Santa Catarina;Western University,Florianopolis;London,Brazil;Canada,4,"Nunes, Luis Eduardo;Lima, Marcus Vinicius Andrade de;Davison, Matthew;Leite, André Luis da Silva",57224080117;57201616748;7101919061;57193341932,60017609;60017609;60010884;60017609,2021-09-15 00:00:00,15 September 2021,Energy,03605442,29348,,Journal,231,,120972,,"The global electricity sector is responsible for a large share of greenhouse gas. Renewable energy (RE) is a feasible alternative to maintain sustainable growth and economic development, as it appears to be a means to reduce emissions and decarbonize economies. Renewable energy projects present some uncertainties and flexibilities that are ignored by traditional methods of evaluation, such as the net present value (NPV), which can lead to undervaluation. This paper aims to assess the switch-output option and defer option for RE projects according to their features in the Brazilian electricity market. The real options approach (ROA) for RE projects seeks to capture the value of uncertainties and flexibilities that all projects have from an investor's point of view. Then, when we adopted a more sophisticated approach that values flexibilities and uncertainties for RE projects, it was possible to conclude that there was a clear increase in value when compared to traditional investment analysis methods like the NPV.",Investment decision | Real options | Renewable energy | Uncertainty | Valuation,14,0,,,,undefined,
140,2-s2.0-85106291218,10.1016/j.energy.2021.120903,S0360544221011518,,Governmental support and renewable energy production: A cross-country review,ar,Article,Smirnova E.,60032982;60032576;60031888;60009913;105715036,Financial University under the Government of the Russian Federation;Moscow State Institute of International Relations (MGIMO);Saint Petersburg State University;Częstochowa University Of Technology;Military University,Moscow;Moscow;Saint Petersburg;Czestochowa;Moscow,Russian Federation;Russian Federation;Russian Federation;Poland;Russian Federation,4,"Smirnova, Elena;Kot, Sebastian;Kolpak, Eugeny;Shestak, Viktor",57222095682;36241816100;56027963000;57515941000,60032982;60009913;60031888;60032576-105715036,2021-09-01 00:00:00,1 September 2021,Energy,03605442,29348,,Journal,230,,120903,,"The modern development of renewable energy (RE) is largely associated with significant government intervention in the market. Direct support programs have had a direct impact on the de facto construction of industry infrastructure. In this regard, it is important to have an analytical understanding of the bases that determine the readiness of a state to support initiatives in a market, especially in such a turbulent one as in developing countries. The aim of this study is to identify the factors influencing government support for renewable energy production in China, India, and Russia. The research methodology is based on determining the factors of development of renewable energy using a survey of 57 experts and the regression models of the influence of renewable energy on the resulting indicators of the countries under study. The proposed methodological approach provides an opportunity for a qualitative and quantitative assessment of state support of renewable energy production in the studied countries. The results of the study demonstrate that the key drivers of influence on the renewable energy market are expanding access to financing for renewable energy sources, reducing the share of traditional energy sources and ensuring public-private support for renewable energy projects. Using correlation-regression modeling, the relationship between the socio-economic indicators of the studied countries and the main indicators of the development of renewable energy (the number of renewable energy business entities, facilities, and their total installed capacity) was determined. The modeling based on regression equations shows that renewable energy in the studied countries has favorable prerequisites for development, but their implementation requires purposeful and coordinated actions on the part of government and business.",Community-owned renewable energy | Energy efficiency | Energy intensity | Energy security | Renewable energy sources | Tax,81,0,,,,undefined,"Government Council on Grants, Russian Federation"
